index,date,state,fips,positive,negative,death,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,deathIncrease,new positive cases,new negative cases,new deaths,new negative cases (last 7 days),new positive cases (last 7 days),new deaths (last 7 days),tests (last 7 days),death rate (last 7 days),positive case pct,new deaths (per capita),Hospitalized (per capita),In ICU (per capita),On Ventilator (per capita),new positive (per capita),tests (last 7 days per capita),testing rate of change,testing rate of change (last 7 days average),death pct rate of change,positive case pct rate of change,positive case pct rate of change (last 7 days average),positive cases rate of change,positive cases rate of change (last 7 days average)
8448,2020-02-15,WA,53,28.0,0.0,,,,,0,7.0,0.0,0,0.0,15.0,0.0,15.0,0.0,1.0,0.0,,,,1.9905538928532613e-06,1.9905538928532613e-06,0.6666666666666666,0.11814058956916104,0.0,0.0,0.0,0.8571428571428571,0.6380952380952382
8447,2020-02-16,WA,53,35.0,0.0,,,,,0,7.0,0.0,0,0.0,22.0,0.0,22.0,0.0,1.0,0.0,,,,2.91947904285145e-06,2.91947904285145e-06,0.4666666666666667,0.21655328798185947,0.0,0.0,0.0,1.0,0.6984126984126985
8446,2020-02-17,WA,53,50.0,0.0,,,,,0,15.0,0.0,0,0.0,34.0,0.0,34.0,0.0,1.0,0.0,,,,4.511922157134059e-06,4.511922157134059e-06,0.5454545454545454,0.2536590393733252,0.0,0.0,0.0,0.8,0.7206349206349206
8445,2020-02-18,WA,53,59.0,0.0,,,,,0,9.0,0.0,0,0.0,42.0,0.0,42.0,0.0,1.0,0.0,,,,5.573550899989131e-06,5.573550899989131e-06,0.23529411764705882,0.28727248475147643,0.0,0.0,0.0,0.8888888888888888,0.8687830687830687
8444,2020-02-19,WA,53,69.0,0.0,,,,,0,10.0,0.0,0,0.0,51.0,0.0,51.0,0.0,1.0,0.0,,,,6.767883235701089e-06,6.767883235701089e-06,0.21428571428571427,0.3020117137764197,0.0,0.0,0.0,0.9,0.852116402116402
8443,2020-02-20,WA,53,82.0,0.0,,,,,0,13.0,0.0,0,0.0,64.0,0.0,64.0,0.0,1.0,0.0,,,,8.493029942840582e-06,8.493029942840582e-06,0.2549019607843137,0.3812834224598931,0.0,0.0,0.0,1.0,0.8732426303854874
8442,2020-02-21,WA,53,93.0,0.0,,,,,0,11.0,0.0,0,0.0,72.0,0.0,72.0,0.0,1.0,0.0,,,,9.554658685695655e-06,9.554658685695655e-06,0.125,0.3583242387864237,0.0,0.0,0.0,0.7272727272727273,0.8819006390434961
8441,2020-02-22,WA,53,106.0,0.0,,,,,0,13.0,0.0,0,0.0,78.0,0.0,78.0,0.0,1.0,0.0,,,,1.0350880242836958e-05,1.0350880242836958e-05,0.08333333333333333,0.27499090545309046,0.0,0.0,0.0,0.46153846153846156,0.8253857253857254
8440,2020-02-23,WA,53,122.0,0.0,,,,,0,16.0,0.0,0,0.0,87.0,0.0,87.0,0.0,1.0,0.0,,,,1.1545212578548916e-05,1.1545212578548916e-05,0.11538461538461539,0.22480775526994026,0.0,0.0,0.0,0.5625,0.7628857253857254
8439,2020-02-24,WA,53,148.0,0.0,,,,,0,26.0,0.0,0,0.0,98.0,0.0,98.0,0.0,1.0,0.0,,,,1.300495209997464e-05,1.300495209997464e-05,0.12643678160919541,0.16494807472060452,0.0,0.0,0.0,0.4230769230769231,0.7090395715395716
8438,2020-02-25,WA,53,179.0,0.0,,,,,0,31.0,0.0,0,0.0,120.0,0.0,120.0,0.0,1.0,0.0,,,,1.592443114282609e-05,1.592443114282609e-05,0.22448979591836735,0.16340460018793432,0.0,0.0,0.0,0.7096774193548387,0.6834379330347075
8437,2020-02-26,WA,53,208.0,0.0,2.0,,,,2,29.0,0.0,2,0.0,139.0,2.0,139.0,0.014388489208633094,1.0,2.654071857137682e-07,,,,1.8445799407106887e-05,1.8445799407106887e-05,0.15833333333333333,0.15541140290902278,0.014388489208633094,0.0,0.0,0.6551724137931034,0.6484625635765793
8436,2020-02-27,WA,53,235.0,0.0,2.0,,,,0,27.0,0.0,0,0.0,153.0,2.0,153.0,0.013071895424836602,1.0,2.654071857137682e-07,,,,2.0303649707103264e-05,2.0303649707103264e-05,0.10071942446043165,0.13338532629132535,-0.0013165937837964926,0.0,0.0,0.5185185185185185,0.5796794947935104
8435,2020-02-28,WA,53,275.0,0.0,4.0,,,,2,40.0,0.0,2,0.0,182.0,4.0,182.0,0.02197802197802198,1.0,5.308143714275364e-07,,,,2.4152053899952903e-05,2.4152053899952903e-05,0.1895424836601307,0.14260568109991545,0.008906126553185378,0.0,0.0,0.725,0.579354819468835
8434,2020-02-29,WA,53,299.0,17.0,5.0,,,,1,24.0,17.0,1,17.0,193.0,5.0,210.0,0.025906735751295335,0.919047619047619,6.635179642844205e-07,,,,2.561179342137863e-05,2.7867754499945658e-05,0.15384615384615385,0.15267894117317554,0.003928713773273355,-0.080952380952381,-0.011564625850340142,0.4583333333333333,0.5788969440109595
8431,2020-03-01,MI,26,9.0,,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8432,2020-03-01,RI,44,2.0,2.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8433,2020-03-01,WA,53,377.0,12.0,8.0,,,,3,78.0,-5.0,3,12.0,255.0,8.0,267.0,0.03137254901960784,0.9550561797752809,1.0616287428550728e-06,,,,3.383941617850544e-05,3.543185929278805e-05,0.2714285714285714,0.1749709348937407,0.0054658132683125076,0.0360085607276619,-0.006420545746388443,0.7948717948717948,0.6120929147069302
8428,2020-03-02,MI,26,18.0,,,,,,0,9.0,0.0,0,0.0,9.0,0.0,9.0,0.0,1.0,0.0,,,,9.003678002464007e-07,9.003678002464007e-07,inf,0.0,0.0,1.0,1.0,1.0,1.0
8429,2020-03-02,RI,44,2.0,3.0,,,,,0,0.0,1.0,0,1.0,0.0,0.0,1.0,,0.0,0.0,,,,0.0,9.457919352321683e-07,inf,0.0,,0.0,0.0,,0.0
8430,2020-03-02,WA,53,450.0,123.0,11.0,,,,3,73.0,111.0,3,123.0,302.0,11.0,425.0,0.03642384105960265,0.7105882352941176,1.459739521425725e-06,,,,4.007648504277899e-05,5.639902696417574e-05,0.5917602996254682,0.24144572318177965,0.005051292039994805,-0.24446794448116327,-0.04134453781512605,0.6438356164383562,0.6436298709014207
8425,2020-03-03,MI,26,34.0,,,,,,0,16.0,0.0,0,0.0,25.0,0.0,25.0,0.0,1.0,0.0,,,,2.5010216673511127e-06,2.5010216673511127e-06,1.7777777777777777,1.7777777777777777,0.0,0.0,0.5,1.0,1.0
8426,2020-03-03,RI,44,2.0,5.0,,,,,0,0.0,2.0,0,3.0,0.0,0.0,3.0,,0.0,0.0,,,,0.0,2.837375805696505e-06,2.0,2.0,,0.0,0.0,,0.0
8427,2020-03-03,WA,53,534.0,264.0,14.0,,,,3,84.0,141.0,3,264.0,355.0,14.0,619.0,0.03943661971830986,0.5735056542810986,1.8578502999963772e-06,,,,4.710977546419385e-05,8.214352397841125e-05,0.45647058823529413,0.274585836369912,0.0030127786587072145,-0.13708258101301907,-0.060927763674128776,0.6309523809523809,0.6323834368439265
8410,2020-03-04,AZ,4,2.0,27.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8411,2020-03-04,CA,6,53.0,462.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8412,2020-03-04,FL,12,2.0,24.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8413,2020-03-04,GA,13,2.0,,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
